,idx,step,date,position_index,position,real_position,data_low,data_volume,data_open,data_high,data_Volume USD,data_unix,data_symbol,data_close,portfolio_valuation,portfolio_distribution_asset,portfolio_distribution_fiat,portfolio_distribution_borrowed_asset,portfolio_distribution_borrowed_fiat,portfolio_distribution_interest_asset,portfolio_distribution_interest_fiat,reward
39,43,39,2018-05-24T00:00:00.000000000,tensor([2]),1,0.9999969419746921,7502.89,2460799.3,7502.89,7613.19,325.18,1527120000,BTC/USD,7584.1,10170.690904105877,1.3410503292250489,0.031102230183023494,0,0,0.0,0.0,0.010765637766480672
40,44,40,2018-05-24T01:00:00.000000000,tensor([0]),-1,-1.0046448798760663,7573.92,4112785.65,7584.1,7654.0,540.25,1527123600,BTC/USD,7601.65,10145.095597238256,0,20337.313944856895,1.3407862465458587,0,4.022358739637575e-06,0.0,-0.0025197469375101253
41,45,41,2018-05-24T02:00:00.000000000,tensor([2]),1,0.999996978471576,7563.71,1947851.29,7601.65,7631.44,256.6,1527127200,BTC/USD,7584.02,10119.568318367503,1.3343237151015146,0.030576563312934013,0,0,0.0,0.0,-0.00251938966069769
42,46,42,2018-05-24T03:00:00.000000000,tensor([0]),-1,-1.00781596443467,7573.34,2116667.0,7584.02,7654.44,277.82,1527130800,BTC/USD,7613.52,10078.159342637813,0,20235.08922026462,1.3340609083483839,0,4.002182725045151e-06,0.0,-0.004100365589841916
43,47,43,2018-05-24T04:00:00.000000000,tensor([2]),1,0.9999970230675085,7613.52,4045196.0,7613.52,7733.99,525.96,1527134400,BTC/USD,7733.99,10235.60268961477,1.3234529937220703,0.030470698216959136,0,0,0.0,0.0,0.015501461467925944
44,48,44,2018-05-24T05:00:00.000000000,tensor([2]),1,0.999997006731115,7656.9,2758318.97,7733.99,7733.99,358.18,1527138000,BTC/USD,7691.78,10179.739738749762,1.3234529937220703,0.030470698216959136,0,0,0.0,0.0,-0.005472657682376771
45,49,45,2018-05-24T06:00:00.000000000,tensor([1]),0,0.0,7627.52,2071001.55,7691.78,7709.12,270.15,1527141600,BTC/USD,7650.22,10178.721767822957,0,10178.721767822957,0,0,0.0,0.0,-0.00010000470097651507
46,50,46,2018-05-24T07:00:00.000000000,tensor([2]),1,1.0,7526.94,4492668.08,7650.22,7680.92,590.82,1527145200,BTC/USD,7567.1,10067.122664282097,1.3303805505784376,0,0,0,0.0,0.0,-0.011024507693280538
47,51,47,2018-05-24T08:00:00.000000000,tensor([0]),-1,-0.9596428791747043,7375.65,7623654.89,7567.1,7571.62,1023.99,1527148800,BTC/USD,7411.24,10272.391513815457,0,20130.218882143123,1.3301145010732724,0,3.9903435032198166e-06,0.0,0.020184928420811613
48,52,48,2018-05-24T09:00:00.000000000,tensor([2]),1,0.9999971057898769,7267.24,6226439.76,7411.24,7426.0,848.47,1527152400,BTC/USD,7373.51,10218.122434482277,1.3857840921201554,0.029573393389000557,0,0,0.0,0.0,-0.005297007811666108
49,53,49,2018-05-24T10:00:00.000000000,tensor([2]),1,0.9999970981116235,7296.98,3765392.54,7373.51,7412.57,512.51,1527156000,BTC/USD,7354.0,10191.085786845011,1.3857840921201554,0.029573393389000557,0,0,0.0,0.0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
